dt_reference;id_city_origin;id_city_destination;freight_cost
09/12/2022;5105259,0;4118204,0;420,0
27/01/2023;5105259,0;4118204,0;417,5
03/02/2023;5105259,0;4118204,0;470,0
10/02/2023;5105259,0;4118204,0;512,0
17/02/2023;5105259,0;4118204,0;555,0
10/03/2023;5105259,0;4118204,0;460,0
06/04/2023;5105259,0;4118204,0;447,0
28/04/2023;5105259,0;4118204,0;432,0
12/05/2023;5105259,0;4118204,0;442,5
07/07/2023;5105259,0;4118204,0;545,0
21/07/2023;5105259,0;4118204,0;530,0
28/07/2023;5105259,0;4118204,0;500,0
01/09/2023;5105259,0;4118204,0;515,0
08/09/2023;5105259,0;4118204,0;471,0
22/09/2023;5105259,0;4118204,0;509,0
06/10/2023;5105259,0;4118204,0;532,5
27/10/2023;5105259,0;4118204,0;530,5
01/12/2023;5105259,0;4118204,0;492,5
08/03/2024;5105259,0;4118204,0;410,0
22/03/2024;5105259,0;4118204,0;355,0
17/05/2024;5105259,0;4118204,0;443,0
31/05/2024;5105259,0;4118204,0;441,5
07/01/2022;5107065,0;4118204,0;340,0
21/01/2022;5107065,0;4118204,0;300,0
28/01/2022;5107065,0;4118204,0;350,0
04/02/2022;5107065,0;4118204,0;367,0
11/02/2022;5107065,0;4118204,0;395,0
18/02/2022;5107065,0;4118204,0;402,5
04/03/2022;5107065,0;4118204,0;400,0
11/03/2022;5107065,0;4118204,0;405,0
18/03/2022;5107065,0;4118204,0;435,0
25/03/2022;5107065,0;4118204,0;432,0
01/04/2022;5107065,0;4118204,0;433,0
08/04/2022;5107065,0;4118204,0;427,33
15/04/2022;5107065,0;4118204,0;460,0
22/04/2022;5107065,0;4118204,0;450,0
29/04/2022;5107065,0;4118204,0;465,0
13/05/2022;5107065,0;4118204,0;480,0
20/05/2022;5107065,0;4118204,0;448,0
27/05/2022;5107065,0;4118204,0;452,0
10/06/2022;5107065,0;4118204,0;500,0
24/06/2022;5107065,0;4118204,0;520,0
01/07/2022;5107065,0;4118204,0;470,0
08/07/2022;5107065,0;4118204,0;513,0
15/07/2022;5107065,0;4118204,0;537,0
22/07/2022;5107065,0;4118204,0;560,0
29/07/2022;5107065,0;4118204,0;530,0
05/08/2022;5107065,0;4118204,0;510,0
09/09/2022;5107065,0;4118204,0;420,0
23/09/2022;5107065,0;4118204,0;425,0
04/11/2022;5107065,0;4118204,0;440,0
20/01/2023;5107065,0;4118204,0;380,0
12/05/2023;5107065,0;4118204,0;410,0
19/05/2023;5107065,0;4118204,0;434,0
02/06/2023;5107065,0;4118204,0;444,0
30/06/2023;5107065,0;4118204,0;479,0
21/07/2023;5107065,0;4118204,0;516,33
28/07/2023;5107065,0;4118204,0;525,0
04/08/2023;5107065,0;4118204,0;502,0
25/08/2023;5107065,0;4118204,0;490,0
08/09/2023;5107065,0;4118204,0;485,0
15/09/2023;5107065,0;4118204,0;464,0
22/09/2023;5107065,0;4118204,0;467,0
06/10/2023;5107065,0;4118204,0;451,0
20/10/2023;5107065,0;4118204,0;475,0
10/11/2023;5107065,0;4118204,0;445,0
24/11/2023;5107065,0;4118204,0;452,5
08/12/2023;5107065,0;4118204,0;417,5
22/12/2023;5107065,0;4118204,0;430,0
28/12/2023;5107065,0;4118204,0;415,0
12/01/2024;5107065,0;4118204,0;375,0
19/01/2024;5107065,0;4118204,0;353,33
26/01/2024;5107065,0;4118204,0;360,0
02/02/2024;5107065,0;4118204,0;351,33
09/02/2024;5107065,0;4118204,0;412,5
16/02/2024;5107065,0;4118204,0;436,67
01/03/2024;5107065,0;4118204,0;388,0
08/03/2024;5107065,0;4118204,0;390,0
22/03/2024;5107065,0;4118204,0;385,0
05/04/2024;5107065,0;4118204,0;366,67
12/04/2024;5107065,0;4118204,0;351,5
19/04/2024;5107065,0;4118204,0;370,0
26/04/2024;5107065,0;4118204,0;351,0
10/05/2024;5107065,0;4118204,0;374,5
17/05/2024;5107065,0;4118204,0;398,0
14/06/2024;5107065,0;4118204,0;447,5
07/01/2022;5107909,0;4118204,0;380,0
21/01/2022;5107909,0;4118204,0;400,0
11/02/2022;5107909,0;4118204,0;420,0
18/02/2022;5107909,0;4118204,0;430,0
25/02/2022;5107909,0;4118204,0;410,0
18/03/2022;5107909,0;4118204,0;440,0
25/03/2022;5107909,0;4118204,0;500,0
15/04/2022;5107909,0;4118204,0;510,0
22/04/2022;5107909,0;4118204,0;480,0
29/04/2022;5107909,0;4118204,0;490,0
13/05/2022;5107909,0;4118204,0;590,0
10/06/2022;5107909,0;4118204,0;512,0
17/06/2022;5107909,0;4118204,0;560,0
01/07/2022;5107909,0;4118204,0;570,0
08/07/2022;5107909,0;4118204,0;545,0
15/07/2022;5107909,0;4118204,0;540,0
05/08/2022;5107909,0;4118204,0;520,0
19/08/2022;5107909,0;4118204,0;470,0
26/08/2022;5107909,0;4118204,0;465,0
02/09/2022;5107909,0;4118204,0;460,0
30/09/2022;5107909,0;4118204,0;450,0
21/10/2022;5107909,0;4118204,0;390,0
03/02/2023;5107909,0;4118204,0;530,0
10/03/2023;5107909,0;4118204,0;475,0
21/07/2023;5107909,0;4118204,0;550,0
23/02/2024;5107909,0;4118204,0;435,0
08/03/2024;5107909,0;4118204,0;425,0
22/03/2024;5107909,0;4118204,0;370,0
28/03/2024;5107909,0;4118204,0;360,0
07/01/2022;5100201,0;4118204,0;330,0
21/01/2022;5100201,0;4118204,0;280,0
28/01/2022;5100201,0;4118204,0;360,0
04/02/2022;5100201,0;4118204,0;380,0
11/02/2022;5100201,0;4118204,0;400,0
18/02/2022;5100201,0;4118204,0;405,0
25/02/2022;5100201,0;4118204,0;390,0
18/03/2022;5100201,0;4118204,0;460,0
25/03/2022;5100201,0;4118204,0;430,0
08/04/2022;5100201,0;4118204,0;420,0
22/04/2022;5100201,0;4118204,0;450,0
29/04/2022;5100201,0;4118204,0;465,0
27/05/2022;5100201,0;4118204,0;455,0
10/06/2022;5100201,0;4118204,0;470,0
24/06/2022;5100201,0;4118204,0;490,0
01/07/2022;5100201,0;4118204,0;500,0
08/07/2022;5100201,0;4118204,0;510,0
22/07/2022;5100201,0;4118204,0;530,0
05/08/2022;5100201,0;4118204,0;454,0
12/08/2022;5100201,0;4118204,0;453,5
19/08/2022;5100201,0;4118204,0;438,5
26/08/2022;5100201,0;4118204,0;440,0
02/09/2022;5100201,0;4118204,0;428,5
09/09/2022;5100201,0;4118204,0;408,5
23/09/2022;5100201,0;4118204,0;411,0
04/11/2022;5100201,0;4118204,0;410,0
11/11/2022;5100201,0;4118204,0;418,5
09/12/2022;5100201,0;4118204,0;423,5
17/02/2023;5100201,0;4118204,0;520,0
10/03/2023;5100201,0;4118204,0;480,0
26/05/2023;5100201,0;4118204,0;425,0
06/10/2023;5100201,0;4118204,0;468,0
08/12/2023;5100201,0;4118204,0;370,0
05/01/2024;5100201,0;4118204,0;350,0
19/01/2024;5100201,0;4118204,0;320,0
09/02/2024;5100201,0;4118204,0;375,0
23/02/2024;5100201,0;4118204,0;383,33
01/03/2024;5100201,0;4118204,0;385,0
22/03/2024;5100201,0;4118204,0;355,0
05/04/2024;5100201,0;4118204,0;340,0
03/05/2024;5100201,0;4118204,0;382,5
31/05/2024;5100201,0;4118204,0;402,5
28/06/2024;5100201,0;4118204,0;407,5
05/07/2024;5100201,0;4118204,0;412,5
12/07/2024;5100201,0;4118204,0;435,0
21/01/2022;5102678,0;4118204,0;330,0
28/01/2022;5102678,0;4118204,0;290,0
01/04/2022;5102678,0;4118204,0;365,0
15/04/2022;5102678,0;4118204,0;300,0
22/04/2022;5102678,0;4118204,0;320,0
13/05/2022;5102678,0;4118204,0;380,0
20/05/2022;5102678,0;4118204,0;390,0
24/06/2022;5102678,0;4118204,0;400,0
01/07/2022;5102678,0;4118204,0;420,0
15/07/2022;5102678,0;4118204,0;450,0
12/08/2022;5102678,0;4118204,0;410,0
26/08/2022;5102678,0;4118204,0;350,0
02/09/2022;5102678,0;4118204,0;340,0
18/11/2022;5102678,0;4118204,0;280,0
03/02/2023;5102678,0;4118204,0;366,0
12/05/2023;5102678,0;4118204,0;352,5
19/05/2023;5102678,0;4118204,0;391,67
26/05/2023;5102678,0;4118204,0;407,33
09/06/2023;5102678,0;4118204,0;384,5
16/06/2023;5102678,0;4118204,0;370,0
30/06/2023;5102678,0;4118204,0;391,0
07/07/2023;5102678,0;4118204,0;413,0
14/07/2023;5102678,0;4118204,0;440,0
04/08/2023;5102678,0;4118204,0;362,0
25/08/2023;5102678,0;4118204,0;399,0
08/09/2023;5102678,0;4118204,0;386,0
15/09/2023;5102678,0;4118204,0;373,0
26/01/2024;5102678,0;4118204,0;310,0
23/02/2024;5102678,0;4118204,0;335,0
08/03/2024;5102678,0;4118204,0;325,0
17/05/2024;5102678,0;4118204,0;355,0
07/01/2022;5103353,0;4118204,0;375,0
21/01/2022;5103353,0;4118204,0;305,0
28/01/2022;5103353,0;4118204,0;395,0
04/02/2022;5103353,0;4118204,0;417,0
18/02/2022;5103353,0;4118204,0;430,0
25/02/2022;5103353,0;4118204,0;418,0
04/03/2022;5103353,0;4118204,0;445,0
11/03/2022;5103353,0;4118204,0;392,5
18/03/2022;5103353,0;4118204,0;530,0
25/03/2022;5103353,0;4118204,0;483,0
01/04/2022;5103353,0;4118204,0;495,0
08/04/2022;5103353,0;4118204,0;477,5
15/04/2022;5103353,0;4118204,0;467,0
22/04/2022;5103353,0;4118204,0;480,0
29/04/2022;5103353,0;4118204,0;540,0
13/05/2022;5103353,0;4118204,0;510,0
03/06/2022;5103353,0;4118204,0;485,0
10/06/2022;5103353,0;4118204,0;560,0
24/06/2022;5103353,0;4118204,0;580,0
01/07/2022;5103353,0;4118204,0;590,0
08/07/2022;5103353,0;4118204,0;600,0
22/07/2022;5103353,0;4118204,0;620,0
05/08/2022;5103353,0;4118204,0;550,0
12/08/2022;5103353,0;4118204,0;570,0
02/09/2022;5103353,0;4118204,0;500,0
09/09/2022;5103353,0;4118204,0;470,0
23/09/2022;5103353,0;4118204,0;475,0
04/11/2022;5103353,0;4118204,0;490,0
16/12/2022;5103353,0;4118204,0;520,0
17/02/2023;5103353,0;4118204,0;610,0
19/05/2023;5103353,0;4118204,0;502,0
26/05/2023;5103353,0;4118204,0;492,0
16/06/2023;5103353,0;4118204,0;507,0
30/06/2023;5103353,0;4118204,0;546,0
14/07/2023;5103353,0;4118204,0;565,0
08/12/2023;5103353,0;4118204,0;460,0
15/12/2023;5103353,0;4118204,0;450,0
12/01/2024;5103353,0;4118204,0;410,0
19/01/2024;5103353,0;4118204,0;400,0
09/02/2024;5103353,0;4118204,0;455,0
08/03/2024;5103353,0;4118204,0;440,0
15/03/2024;5103353,0;4118204,0;393,0
22/03/2024;5103353,0;4118204,0;388,0
28/03/2024;5103353,0;4118204,0;425,0
19/04/2024;5103353,0;4118204,0;405,0
17/05/2024;5103353,0;4118204,0;437,5
07/01/2022;5106224,0;4118204,0;355,0
21/01/2022;5106224,0;4118204,0;377,5
28/01/2022;5106224,0;4118204,0;425,0
11/02/2022;5106224,0;4118204,0;395,0
18/02/2022;5106224,0;4118204,0;405,0
25/02/2022;5106224,0;4118204,0;385,0
11/03/2022;5106224,0;4118204,0;367,5
25/03/2022;5106224,0;4118204,0;475,0
15/04/2022;5106224,0;4118204,0;480,0
22/04/2022;5106224,0;4118204,0;465,0
13/05/2022;5106224,0;4118204,0;472,5
20/05/2022;5106224,0;4118204,0;477,5
27/05/2022;5106224,0;4118204,0;487,5
10/06/2022;5106224,0;4118204,0;502,0
17/06/2022;5106224,0;4118204,0;530,0
24/06/2022;5106224,0;4118204,0;515,0
08/07/2022;5106224,0;4118204,0;540,0
15/07/2022;5106224,0;4118204,0;550,0
